NDSI,Date,doy,lat,lon
0.33187774,2022-03-15 12:00:00,73,74.52708332666292,-20.53011819358056
0.29630908,2022-03-15 12:00:00,73,74.52708332666292,-20.514499997921636
0.29630908,2022-03-15 12:00:00,73,74.52708332666292,-20.498881802262584
0.39427912,2022-03-15 12:00:00,73,74.52708332666292,-20.483263606603533
0.39427912,2022-03-15 12:00:00,73,74.52708332666292,-20.46764541094449
0.42048618,2022-03-15 12:00:00,73,74.52708332666292,-20.45202721528556
0.59851617,2022-03-15 12:00:00,73,74.52708332666292,-20.436409019626513
0.63317716,2022-03-15 12:00:00,73,74.52708332666292,-20.42079082396746
0.7365914,2022-03-15 12:00:00,73,74.52708332666292,-20.40517262830841
0.7539023,2022-03-15 12:00:00,73,74.52708332666292,-20.389554432649486
