pixel_ID,doy_snowmelt
74.47292_-20.53808,160.557012231298
74.47292_-20.52251,160.616923393642
74.47292_-20.50695,161.245482721174
74.47292_-20.49138,159.68706173225
74.47292_-20.47582,159.295313032218
74.47292_-20.46025,164.682234863835
74.47292_-20.44469,165.35760555182
74.47292_-20.42912,165.117233359221
74.47292_-20.41356,162.048504836702
74.47292_-20.39799,162.048504836702
74.46875_-20.64163,154.478087315149
74.46875_-20.62607,156.523197352812
74.46875_-20.61051,151.652338972981
74.46875_-20.59495,154.422897314042
74.46875_-20.57938,151.980504099633
74.46875_-20.56382,153.448608529374
74.46875_-20.54826,160.014189144698
74.46875_-20.53270,160.014189144698
74.46875_-20.51714,161.682926716932
74.46875_-20.50158,161.943435832576
74.46875_-20.48602,160.776883776731
74.46875_-20.47046,160.310225586393
74.46875_-20.45490,163.473951413084
74.46875_-20.43934,163.829672746412
74.46875_-20.42378,163.501657005302
74.46875_-20.40821,162.072920004429
74.46458_-20.66734,164.203511710867
74.46458_-20.65179,169.059591892941
74.46458_-20.62067,160.502243047817
74.46458_-20.60512,150.352699195227
74.46458_-20.58956,147.125052566927
74.46458_-20.57400,147.960291113325
74.46458_-20.55844,152.941454467425
74.46458_-20.54289,163.101212111525
74.46458_-20.52733,164.656440691511
74.46458_-20.51177,162.777228691614
74.46458_-20.49622,162.160389726362
74.46458_-20.48066,160.424428587666
74.46458_-20.46510,160.424428587666
74.46458_-20.44955,162.043004783156
74.46458_-20.43399,163.723775544357
74.46458_-20.41843,162.427722429664
74.46458_-20.40288,160.826985220324
74.46042_-20.61528,-9999
74.46042_-20.59973,-9999
74.46042_-20.58417,157.155454505647
74.46042_-20.56862,158.132000492925
74.46042_-20.55307,159.033285299773
74.46042_-20.53751,163.97713222881
74.46042_-20.52196,166.291434130126
74.46042_-20.50641,164.816230485602
74.46042_-20.49086,163.078070301814
74.46042_-20.47530,163.732537583737
74.46042_-20.45975,162.187110699858
74.46042_-20.44420,160.437147706983
74.46042_-20.42865,158.240884308218
74.46042_-20.41309,158.965394612369
74.45625_-20.57879,-9999
74.45625_-20.56324,166.069381600593
74.45625_-20.54769,170.36356879026
74.45625_-20.53215,170.36356879026
74.45625_-20.45440,162.187110699858
74.45625_-20.43885,160.437147706983
74.45208_-20.44906,162.690791332057
74.44792_-20.44371,164.636989150032
74.44792_-20.42817,-9999
