pixel_ID,doy_snowmelt
74.47292_-20.49138,159.68706173225
74.47292_-20.47582,159.295313032218
74.47292_-20.46025,164.682234863835
74.47292_-20.44469,165.35760555182
74.47292_-20.42912,165.117233359221
74.47292_-20.41356,162.048504836702
74.47292_-20.39799,162.727695443377
74.47292_-20.38243,162.538078907154
74.47292_-20.36686,162.313136563702
74.47292_-20.35130,163.969840384375
74.46875_-20.68831,156.194623934375
74.46875_-20.67275,156.832778334319
74.46875_-20.65719,159.216483499728
74.46875_-20.64163,154.478087315149
74.46875_-20.62607,156.523197352812
74.46875_-20.61051,151.652338972981
74.46875_-20.59495,154.422897314042
74.46875_-20.57938,151.980504099633
74.46875_-20.56382,153.448608529374
74.46875_-20.54826,160.014189144698
74.46875_-20.53270,161.922829169152
74.46875_-20.51714,161.682926716932
74.46875_-20.50158,161.943435832576
74.46875_-20.48602,160.776883776731
74.46875_-20.47046,160.310225586393
74.46875_-20.45490,163.473951413084
74.46875_-20.43934,163.829672746412
74.46875_-20.42378,163.501657005302
74.46875_-20.40821,162.072920004429
74.46875_-20.39265,162.538459614488
74.46875_-20.37709,163.990878245929
74.46875_-20.36153,164.437084134274
74.46875_-20.34597,166.903473439126
74.46458_-20.65179,169.059591892941
74.46458_-20.63623,164.62061580558
74.46458_-20.62067,160.502243047817
74.46458_-20.60512,150.352699195227
74.46458_-20.58956,147.125052566927
74.46458_-20.57400,147.960291113325
74.46458_-20.55844,152.941454467425
74.46458_-20.54289,163.101212111525
74.46458_-20.52733,164.656440691511
74.46458_-20.51177,162.777228691614
74.46458_-20.49622,162.160389726362
74.46458_-20.48066,160.424428587666
74.46458_-20.46510,160.882557130739
74.46458_-20.44955,162.043004783156
74.46458_-20.43399,163.723775544357
74.46458_-20.41843,162.427722429664
74.46458_-20.40288,160.826985220324
74.46458_-20.38732,162.05456960176
74.46458_-20.37176,165.766383191737
74.46458_-20.35620,165.148716494411
74.46458_-20.34065,166.914624125131
74.46042_-20.58417,157.155454505647
74.46042_-20.56862,158.132000492925
74.46042_-20.55307,159.033285299773
74.46042_-20.53751,163.97713222881
74.46042_-20.52196,166.291434130126
74.46042_-20.50641,164.816230485602
74.46042_-20.49086,163.078070301814
74.46042_-20.47530,163.732537583737
74.46042_-20.45975,162.187110699858
74.46042_-20.44420,160.437147706983
74.46042_-20.42865,158.240884308218
74.46042_-20.41309,158.965394612369
74.46042_-20.39754,158.336328142032
74.46042_-20.38199,162.163862050608
74.46042_-20.36643,167.86776374574
74.46042_-20.35088,166.916817245777
74.45625_-20.45440,164.114403421683
74.45625_-20.43885,159.247185122323
74.45625_-20.39221,163.714460286723
74.45625_-20.37666,166.553952255377
74.45625_-20.36111,167.004095874517
74.45625_-20.34556,169.737783217217
74.45208_-20.44906,162.690791332057
74.45208_-20.43351,161.608526806932
74.45208_-20.38688,165.823412621135
74.45208_-20.37133,165.992926915071
74.45208_-20.35579,169.2410898023
74.45208_-20.34024,171.812245602221
74.44792_-20.38155,165.049244453312
74.44792_-20.36601,165.547117626397
74.44792_-20.35047,167.050473890138
74.44375_-20.36069,168.042631570474
74.44375_-20.34515,164.723603791678
74.53958_-20.37438,163.905466459731
74.53958_-20.35875,162.488469234382
74.53542_-20.36902,178.602202549877
74.53542_-20.35339,162.110472465216
74.46458_-20.69846,157.244733613697
74.46458_-20.68290,161.89190357219
74.46458_-20.66734,164.203511710867
74.46042_-20.69304,163.877823873269
74.46042_-20.67749,175.969158450017
74.45625_-20.42330,156.853297891136
74.45625_-20.40776,158.077899909849
74.45208_-20.41797,164.547702309727
74.53125_-20.36367,169.932003124519
74.53125_-20.34805,162.69747650474
74.52708_-20.35832,167.334731837185
74.52708_-20.34270,159.945405146428
74.52292_-20.38420,175.284042274091
74.52292_-20.36859,167.059920947543
74.51875_-20.37885,168.88610107318
74.51875_-20.36324,162.725511669134
74.45625_-20.54769,170.36356879026
74.45625_-20.53215,172.627627409568
74.44792_-20.44371,164.636989150032
74.45625_-20.56324,166.069381600593
74.45625_-20.51660,172.300291750593
74.45625_-20.46995,169.205588693337
